source,title,description,published_at,collected_at
CBS News,How safe is America from polio?,"After decades of American children routinely receiving polio vaccines, the virus that had doomed many to paralysis was nearly eliminated in the United States. But vaccine avoidance today may allow the crippling disease to return.",2026-02-22T14:15:46Z,2026-02-23 19:29:16.643134
CBS News,How safe is America from polio?,"After decades of American children routinely receiving polio vaccines, the virus that had doomed many to paralysis was nearly eliminated in the United States. But vaccine avoidance today may allow the crippling disease to return. CBS News chief medical corres…",2026-02-22T14:11:00Z,2026-02-23 19:29:16.643134
CBS News,"This week on ""Sunday Morning"" (Feb. 22)","A look at the features for this week's broadcast of the Emmy-winning program, hosted by Jane Pauley.",2026-02-20T17:25:46Z,2026-02-23 19:29:16.643134
Abcnews.com,"Malawi vaccinates a new generation of children against polio, which still hasn't been eradicated",The southern African nation of Malawi has launched a new polio vaccination campaign this week in another reminder that the world still hasn’t managed to eradicate the disease despite a concerted effort for more than 35 years,2026-02-13T17:01:44Z,2026-02-23 19:29:16.643134
World Socialist Web Site,The measles vaccine: A product of two centuries of science and public health reform,"For much of the 20th century, measles was regarded as an unavoidable illness of childhood, even as it killed millions of people worldwide each year. The development of a safe and effective vaccine fundamentally changed that reality.",2026-02-13T04:36:31Z,2026-02-23 19:29:16.643134
Ssir.org,What Else Can We Do? The Thirteen Intentions of Philanthropy,"A year of turbulence has exposed the dangers of philanthropic monocultures
and upended assumptions about impact, effectiveness, and scale. Embracing the
varied intentions that motivate people to give offers a more resilient,
pluralistic path forward.",2026-02-12T13:00:00Z,2026-02-23 19:29:16.643134
Business Standard,Improved immunisation key to fight variant poliovirus strains: Expert,"Oral polio vaccines (OPVs) are safe, effective and central to global eradication efforts, but there is a need for improved immunisation to combat the emergence of vaccine-derived poliovirus strains, a US-based public health expert said.
Referring to India's c…",2026-02-10T08:54:22Z,2026-02-23 19:29:16.643134
Nature.com,Rational design and in vivo validation of capsid inhibitors for enterovirus D68,"In this study, the authors designed potent Enterovirus D68 capsid inhibitors that block viral binding and show that the lead compounds reduce virus levels, prevent paralysis and improve survival in EV-D68-challenged mice, even when treatment starts days after…",2026-02-10T00:00:00Z,2026-02-23 19:29:16.643134
Al Jazeera English,Why US-funded vaccine trial plan for babies in Guinea-Bissau caused outrage,The health trial by researchers at the University of Southern Denmark has been suspended by Bissau-Guinean authorities.,2026-02-07T06:01:13Z,2026-02-23 19:29:16.643134
Techdirt,ACIP Chair Wonders Aloud If We Should Really Be Vaccinating For Polio These Days,"The travesty that is RFK Jr. in charge of American health and what he’s done to the CDC’s ACIP committee for vaccines continues to be visited upon all of us. It’s really important to keep in mind that during his confirmation hearings, Kennedy lied repeatedly …",2026-01-29T04:07:43Z,2026-02-23 19:29:16.643134
The Atlantic,America Should Fear Polio,One of RFK Jr.’s vaccine advisers recently floated the idea of stopping vaccination against the virus. It would be catastrophic.,2026-01-28T22:41:19Z,2026-02-23 19:29:16.643134
Lawyersgunsmoneyblog.com,"Erik Visits an American Grave, Part 2,069","This is the grave of Albert Sabin. Born in Białystok, Poland in 1906 (it was then part of Russia), Abram Saperstejn was among the last Jewish refugees to get out of Europe before the United States disgustingly closed its doors to such immigrants with the 1924…",2026-01-28T12:00:00Z,2026-02-23 19:29:16.643134
GlobeNewswire,"The Association of American Physicians and Surgeons (AAPS) Supports ACIP Vaccine Panel Chairman, Kirk Milhoan, M.D.","Vaccine panel chairman, pediatric cardiologist Kirk Milhoan, M.D., is on solid ground scientifically and ethically, state physicians, in requiring consent",2026-01-27T19:29:00Z,2026-02-23 19:29:16.643134
Wonkette.com,Vaccine Advisory Board Chair: Would Polio Really Be Such A Bad Time?,What if we brought polio back? For funsies!,2026-01-27T14:57:12Z,2026-02-23 19:29:16.643134
ABC News,Chair of CDC's vaccine advisory committee questions polio shot recommendation,"Dr. Kirk Milhoan, head of the CDC's vaccine advisory panel, questioned whether broad recommendations are necessary for polio vaccines and other shots.",2026-01-27T03:51:33Z,2026-02-23 19:29:16.643134
Forbes,CDC Vaccine Advisory Panel Chair Questions Polio Recommendation. Here’s Why That Sets A Dangerous Precedent,A physician provides compelling reasons why dropping the recommendation to vaccinate against polio could endanger public health.,2026-01-25T14:21:29Z,2026-02-23 19:29:16.643134
Premium Times,Confronting Stigma of Polio: A Nigerian survivor's experience,"We must shift the national narrative. People with disabilities are not ""hated by God.""",2026-01-24T10:54:05Z,2026-02-23 19:29:16.643134
Daily Beast,These Are the Physical and Mental Signs Trump Has Had a Stroke: Doctor,These Are the Physical and Mental Signs Trump Has Had a Stroke: Doctorthedailybeast.com,2026-01-24T03:50:34Z,2026-02-23 19:29:16.643134
Balloon-juice.com,Today’s Vaccine Atrocity,Back again with another cross-post with Inverse Square. This one was prompted by a comment in the morning thread that led me to The Hill’s (sic!) report on what RFK Jr.’s new head of the CDC’s vaccine advisory panel had to say about the polio vaccine. Nothing…,2026-01-24T01:42:07Z,2026-02-23 19:29:16.643134
